1000 2500
106 303 58
436 732 72
66 967 97
569 779 84
549 944 75
607 974 79
180 787 14
515 935 59
57 440 48
42 361 89
629 691 74
153 477 72
279 677 2
121 593 77
514 776 87
415 494 10
806 970 74
94 963 57
408 600 62
529 731 55
551 610 86
238 596 96
256 438 72
98 124 99
300 594 49
49 544 43
492 658 39
695 718 84
274 755 22
64 258 14
287 395 58
141 556 51
96 383 62
115 656 100
442 480 24
61 193 54
727 937 86
265 650 38
450 662 48
380 737 11
53 112 27
455 982 9
497 571 68
479 842 72
133 387 63
585 750 100
193 972 84
879 963 2
239 949 69
362 757 78
405 446 42
64 139 91
228 780 98
48 559 65
105 530 60
733 898 39
125 132 63
235 505 2
47 291 6
42 712 92
165 764 73
118 598 59
11 936 34
267 969 27
456 692 6
283 828 42
821 910 44
218 942 54
5 689 54
63 159 81
621 646 69
345 635 79
474 939 96
97 989 73
261 450 67
444 984 32
339 776 89
605 703 19
825 831 14
849 939 44
495 832 54
88 243 95
748 926 53
913 954 75
271 325 40
216 555 35
42 777 32
295 489 8
407 816 24
321 972 50
47 395 59
655 820 55
278 800 84
94 203 69
483 742 78
651 693 77
433 750 42
251 626 77
781 918 11
331 843 100
137 802 43
834 968 85
597 604 96
15 764 20
368 378 39
300 604 30
101 450 69
428 776 68
770 860 98
348 578 9
6 416 16
101 339 24
284 853 46
215 890 30
73 191 69
517 828 32
37 791 75
833 948 87
144 414 59
169 983 1
60 213 72
372 902 71
119 433 40
599 604 74
105 323 39
509 673 66
737 808 53
183 245 27
539 868 72
426 994 79
229 802 18
604 978 22
112 394 52
70 324 100
225 528 38
546 865 53
376 932 57
147 461 61
95 862 66
6 112 12
102 713 81
17 668 48
15 185 33
436 821 64
476 855 22
743 950 100
423 932 20
62 252 43
393 990 1
301 701 41
42 994 66
294 612 4
116 151 77
78 842 77
780 864 27
636 765 91
359 699 21
505 920 4
696 848 8
914 986 25
96 752 91
668 961 77
68 929 48
177 849 10
494 869 21
84 225 14
732 770 64
54 359 50
644 899 59
459 501 90
